County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Teton County,Wyoming,56039,4.4,3.1,6
Gallatin County,Montana,30031,4.7,3.5,6
San Juan County,Washington,53055,4.7,3.2,6.1
Summit County,Colorado,8117,5.1,3.5,7.2
Blaine County,Idaho,16013,5.1,3.6,7
Douglas County,Colorado,8035,5.2,4.1,6.5
Boulder County,Colorado,8013,5.3,4.2,6.3
La Plata County,Colorado,8067,5.5,3.8,7.7
Beaufort County,South Carolina,45013,5.5,4.4,6.8
Summit County,Utah,49043,5.6,4.2,7.3
Chaffee County,Colorado,8015,5.7,3.8,8
Madison County,Montana,30057,5.7,3.9,7.9
Windham County,Vermont,50025,5.7,4.6,6.9
Crook County,Wyoming,56011,5.7,3.8,8.3
Nevada County,California,6057,5.8,3.8,8.7
Eagle County,Colorado,8037,5.8,3.9,7.7
Fergus County,Montana,30027,5.8,3.8,8.5
Benton County,Oregon,41003,5.8,3.9,7.8
Washburn County,Wisconsin,55129,5.8,3.7,8.4
Sioux County,Iowa,19167,5.9,4.3,7.6
Plymouth County,Massachusetts,25023,5.9,4.8,7.2
Chittenden County,Vermont,50007,5.9,4.9,6.9
Dane County,Wisconsin,55025,5.9,4.6,7.4
Lincoln County,Wisconsin,55069,5.9,4,8.1
Jefferson County,Colorado,8059,6,5.2,6.9
Nemaha County,Kansas,20131,6,4,8
Grafton County,New Hampshire,33009,6,5,7.3
Los Alamos County,New Mexico,35028,6,4,8.2
Addison County,Vermont,50001,6,4.8,7.4
Jefferson County,Wisconsin,55055,6,4,8.4
Marin County,California,6041,6.1,3.9,8.5
Placer County,California,6061,6.1,4.3,8.5
Obrien County,Iowa,19141,6.1,4,8.4
Lincoln County,Maine,23015,6.1,5.2,6.9
Broadwater County,Montana,30007,6.1,4,8.7
Santa Fe County,New Mexico,35049,6.1,5.1,7.2
Lamoure County,North Dakota,38045,6.1,4.3,8.5
Yavapai County,Arizona,4025,6.2,5.2,7.2
Fairfield County,Connecticut,9001,6.2,5.5,6.9
Harlan County,Nebraska,31083,6.2,4.1,9.1
Hunterdon County,New Jersey,34019,6.2,4.4,8.2
Deschutes County,Oregon,41017,6.2,4.4,8.1
Newport County,Rhode Island,44005,6.2,5.1,7.3
Arlington County,Virginia,51013,6.2,4.6,7.8
Fairfax County,Virginia,51059,6.2,5.2,7.2
Litchfield County,Connecticut,9005,6.3,5.3,7.5
Chickasaw County,Iowa,19037,6.3,4,8.8
Guthrie County,Iowa,19077,6.3,4,9.3
Hampshire County,Massachusetts,25015,6.3,4.7,8.1
Flathead County,Montana,30029,6.3,5.1,7.6
Mccone County,Montana,30055,6.3,4.3,9.6
Perkins County,Nebraska,31135,6.3,4.2,8.8
Kidder County,North Dakota,38043,6.3,4,9.2
Edmunds County,South Dakota,46045,6.3,4,9.1
Lawrence County,South Dakota,46081,6.3,4.5,8.9
Grand County,Utah,49019,6.3,4.4,9.2
Washington County,Vermont,50023,6.3,5.4,7.5
Jefferson County,Washington,53031,6.3,4.8,8.4
Whatcom County,Washington,53073,6.3,5,7.7
Eau Claire County,Wisconsin,55035,6.3,4.5,8.4
Johnson County,Wyoming,56019,6.3,4.5,8.3
Park County,Wyoming,56029,6.3,4.7,7.9
El Dorado County,California,6017,6.4,4.2,9.2
Broomfield County,Colorado,8014,6.4,4.5,8.5
Garfield County,Colorado,8045,6.4,4.7,8.6
Larimer County,Colorado,8069,6.4,5.4,7.5
Hancock County,Maine,23009,6.4,5.5,7.4
Knox County,Maine,23013,6.4,5.4,7.3
Montgomery County,Maryland,24031,6.4,5.8,7.2
